rowid,loan_range,business_name,address,city,state,zip,naics_code,naics_desc,business_type,race_ethnicity,gender,veteran,non_profit,jobs_reported,date_approved,lender,min_value,max_value
3136,"d $350,000-1 million","LONDON BRIDGE RESORT, LLC",1477 QUEENS BAY,LAKE HAVASU CITY,AZ,86403,721110,Hotels (except Casino Hotels) and Motels,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,226,2020-04-06,Glacier Bank,350000,1000000
3137,"d $350,000-1 million","LONGBOARD ASSET MANAGEMENT, LP","2355 E Camelback Rd, Suite 750",PHOENIX,AZ,85016,523920,Portfolio Management,Partnership,Unanswered,Unanswered,Unanswered,,6,2020-04-14,Silicon Valley Bank,350000,1000000
3138,"d $350,000-1 million","LONGUST FLOORING COMPANY, LLC",7937 SOLANO DR,SCOTTSDALE,AZ,85250,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,2020-04-13,Western Alliance Bank,350000,1000000
3139,"d $350,000-1 million",LOS NINOS HOSPITAL INC,1402 SOUTH AVE E,PHOENIX,AZ,85042,622110,General Medical and Surgical Hospitals,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,41,2020-05-03,"U.S. Bank, National Association",350000,1000000
3140,"d $350,000-1 million",LOUD RUMOR LLC,8335 Hartford Dr,SCOTTSDALE,AZ,85255,541810,Advertising Agencies,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,40,2020-04-05,Celtic Bank Corporation,350000,1000000
3141,"d $350,000-1 million",LP FENCE LLC,36719 W HWY 84,STANFIELD,AZ,85172,238990,All Other Specialty Trade Contractors,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,81,2020-05-01,"JPMorgan Chase Bank, National Association",350000,1000000
3142,"d $350,000-1 million","LSM GOLF, LLC",7555 EAGLE CREST DR,MESA,AZ,85207,713910,Golf Courses and Country Clubs,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,115,2020-04-10,TrustBank,350000,1000000
3143,"d $350,000-1 million","LUSCOMBE ENGINEERING, INC",15300 North 90th Street #900,SCOTTSDALE,AZ,85260,541330,Engineering Services,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,31,2020-04-27,American Express National Bank,350000,1000000
3144,"d $350,000-1 million",LUX5555LP,425 South Power Road,MESA,AZ,85206,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Sole Proprietorship,Unanswered,Unanswered,Unanswered,,75,2020-04-15,"Readycap Lending, LLC",350000,1000000
3145,"d $350,000-1 million",LYNCH BROTHERS MANUFACTURING COMPANY,4045 W. WASHINGTON STREET,PHOENIX,AZ,85009,336412,Aircraft Engine and Engine Parts Manufacturing,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,2020-04-30,"Wells Fargo Bank, National Association",350000,1000000
3146,"d $350,000-1 million",M & P GOLF LLC,7267 East Adobe Drive Unit 115,SCOTTSDALE,AZ,85255,451110,Sporting Goods Stores,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30,2020-04-15,Union Bank and Trust Company,350000,1000000
3147,"d $350,000-1 million","M & P TRANSPORT COMPANY, INC.",3635 S 43rd,PHOENIX,AZ,85009,488999,All Other Support Activities for Transportation,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,68,2020-04-15,BBVA USA,350000,1000000
3148,"d $350,000-1 million",M J INTERNATIONAL MARKETING LLC,15 AVENIDA ACAPONETA,RIO RICO,AZ,85648,445230,Fruit and Vegetable Markets,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
3149,"d $350,000-1 million",M&S EQUIPMENT INC.,7810 North HIGHWAY 87,COOLIDGE,AZ,85128,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,38,2020-04-13,"Zions Bank, A Division of",350000,1000000
3150,"d $350,000-1 million",M. GREENBERG CONSTRUCTION INC,225 E GERMANN RD,GILBERT,AZ,85297,236220,Commercial and Institutional Building Construction,Corporation,Unanswered,Unanswered,Unanswered,,22,2020-04-05,"BOKF, National Association",350000,1000000
3151,"d $350,000-1 million","M.J. PETERSON & ASSOCIATES ENGINEERS, INC.",7201 N. Dreamy Draw Drive Suite 200,PHOENIX,AZ,85020,541330,Engineering Services,Corporation,White,Male Owned,Non-Veteran,,23,2020-04-06,First International Bank & Trust,350000,1000000
3152,"d $350,000-1 million","M.R. TANNER MINING, INC.",1327 W SAN PEDRO ST,GILBERT,AZ,85233,212321,Construction Sand and Gravel Mining,Subchapter S Corporation,White,Male Owned,Non-Veteran,,24,2020-04-30,"JPMorgan Chase Bank, National Association",350000,1000000
3153,"d $350,000-1 million",M.S. HOWELLS & CO.,"20555 N. Pima Road, Suite 100",SCOTTSDALE,AZ,85255,523110,Investment Banking and Securities Dealing,Subchapter S Corporation,White,Male Owned,Non-Veteran,,27,2020-04-11,"Zions Bank, A Division of",350000,1000000
3154,"d $350,000-1 million",MACK-ADAIR INVESTMENTS LLC,15430 E CRESTED BUTTE TRL,FOUNTAIN HILLS,AZ,85268,722511,Full-Service Restaurants,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,129,2020-04-09,FirstBank,350000,1000000
3155,"d $350,000-1 million",MADERA COMPONENT SYSTEMS INC,6362 W VAN BUREN ST,PHOENIX,AZ,85043,321214,Truss Manufacturing,Corporation,Unanswered,Unanswered,Unanswered,,251,2020-04-07,First Fidelity Bank,350000,1000000
3156,"d $350,000-1 million",MADISON AVENUE INTERNATIONAL SALON & DAY SPA INC.,6150 W. Gila Springs Pl Suite 24,CHANDLER,AZ,85226,812112,Beauty Salons,Corporation,Unanswered,Male Owned,Non-Veteran,,80,2020-04-11,Arizona Bank & Trust,350000,1000000
3157,"d $350,000-1 million","MADJ, INC",3231 W. Virginia Ave,PHOENIX,AZ,85009,238350,Finish Carpentry Contractors,Corporation,White,Male Owned,Veteran,,45,2020-04-08,Bank 34,350000,1000000
3158,"d $350,000-1 million","MAGELLAN FINANCIAL & INSURANCE SERVICES, INC.","10575 North 114th Street, Ste 109",SCOTTSDALE,AZ,85259,523930,Investment Advice,Corporation,Unanswered,Male Owned,Non-Veteran,,37,2020-04-15,"Readycap Lending, LLC",350000,1000000
3159,"d $350,000-1 million",MAGGIE'S HOSPICE INC.,172 East Osborn Road,PHOENIX,AZ,85016,623110,Nursing Care Facilities (Skilled Nursing Facilities),Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,39,2020-04-10,"MetaBank, National Association",350000,1000000
3160,"d $350,000-1 million","MAGNUM ENGINEERING, INC.",2439 S. 49th Avenue,PHOENIX,AZ,85043,332323,Ornamental and Architectural Metal Work Manufacturing,Corporation,White,Male Owned,Non-Veteran,,43,2020-04-07,BNC National Bank,350000,1000000
3161,"d $350,000-1 million","MAGNUM PAVING, INC.",2425 S 10TH AVE,TUCSON,AZ,85713,238990,All Other Specialty Trade Contractors,Corporation,Unanswered,Unanswered,Unanswered,,52,2020-04-15,Western Alliance Bank,350000,1000000
3162,"d $350,000-1 million","MAGNUM STEEL, LLC",17765 W GELDING DR,SURPRISE,AZ,85388,238120,Structural Steel and Precast Concrete Contractors,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,25,2020-04-03,Peoples State Bank of Plainview,350000,1000000
3163,"d $350,000-1 million",MAILING.COM LLC,4833 S 38th Street,PHOENIX,AZ,85040,323111,Commercial Printing (except Screen and Books),Limited Liability Partnership,Unanswered,Male Owned,Non-Veteran,,,2020-04-08,Great Western Bank,350000,1000000
3164,"d $350,000-1 million",MAINTENANCE ENGINEERS,1 W. DEER VALLEY RD STE 301,PHOENIX,AZ,85027,561730,Landscaping Services,Subchapter S Corporation,White,Female Owned,Non-Veteran,,140,2020-04-16,City National Bank,350000,1000000
3165,"d $350,000-1 million","MAK INDUSTRIES, LLC",331 S Price Rd,CHANDLER,AZ,85224,561312,Executive Search Services,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,28,2020-04-13,"Readycap Lending, LLC",350000,1000000
3166,"d $350,000-1 million","MAKA, INC.",4042 W Kitty Hawk,CHANDLER,AZ,85226,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,Corporation,Unanswered,Male Owned,Non-Veteran,,,2020-04-10,MidFirst Bank,350000,1000000
3167,"d $350,000-1 million",MAKAI CORPORATION,1425 McCulloch Blvd N,LAKE HAVASU CITY,AZ,86403,722511,Full-Service Restaurants,Corporation,White,Male Owned,Non-Veteran,,84,2020-04-09,Horizon Community Bank,350000,1000000
3168,"d $350,000-1 million","MAKE-A-WISH FOUNDATION OF ARIZONA, INC.",2901 N 78th Street,SCOTTSDALE,AZ,85251,624110,Child and Youth Services,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,32,2020-04-11,Western Alliance Bank,350000,1000000
3169,"d $350,000-1 million","MALENA PRODUCE, INC.",947 E FRONTAGE RD,RIO RICO,AZ,85648,424480,Fresh Fruit and Vegetable Merchant Wholesalers,Corporation,Hispanic,Female Owned,Non-Veteran,,41,2020-04-13,1st Bank Yuma,350000,1000000
3170,"d $350,000-1 million","MANDALAY COMMUNITIES, INC.",1955 Commerce Center Cir Ste A,PRESCOTT,AZ,86301,531210,Offices of Real Estate Agents and Brokers,Corporation,Unanswered,Unanswered,Unanswered,,4,2020-04-05,Bank of Colorado,350000,1000000
3171,"d $350,000-1 million","MANUEL HUERTA TRUCKING, INC.",21 Kipper Street,RIO RICO,AZ,85648,488510,Freight Transportation Arrangement,Corporation,Unanswered,Unanswered,Unanswered,,93,2020-04-28,1st Bank Yuma,350000,1000000
3172,"d $350,000-1 million","MAPES FOOD SERVICE, INC. DBA JERSEY MIKE'S SUBS",9805 E Bell Rd Ste 140,SCOTTSDALE,AZ,85260,454390,Other Direct Selling Establishments,Corporation,Unanswered,Female Owned,Non-Veteran,,191,2020-04-13,BBVA USA,350000,1000000
3173,"d $350,000-1 million","MAR LAM INDUSTRIES, INC.",834 E HAMMOND LANE,PHOENIX,AZ,85034,337110,Wood Kitchen Cabinet and Countertop Manufacturing,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,49,2020-04-08,Arizona Bank & Trust,350000,1000000
3174,"d $350,000-1 million","MARCS, INC",5190 N TEST DRIVE,FLAGSTAFF,AZ,86004,441110,New Car Dealers,Corporation,White,Male Owned,Unanswered,,57,2020-04-13,Sunwest Bank,350000,1000000
3175,"d $350,000-1 million",MARK ENTERPRISES CAR CO III LLC,6910 E Mcdowell Rd,SCOTTSDALE,AZ,85257,441110,New Car Dealers,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,55,2020-04-09,BMO Harris Bank National Association,350000,1000000
3176,"d $350,000-1 million",MARK ENTERPRISES CAR COMPANY LLC,1901 E. Bell Road,PHOENIX,AZ,85022,441110,New Car Dealers,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,44,2020-04-10,BMO Harris Bank National Association,350000,1000000
3177,"d $350,000-1 million",MARLIN MECHANICAL CORPORATION,2928 S. 38TH ST,PHOENIX,AZ,85040,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Corporation,Unanswered,Unanswered,Unanswered,,68,2020-04-14,First Fidelity Bank,350000,1000000
3178,"d $350,000-1 million","MARLYN NUTRACEUTICALS, INC.",4404 E ELWOOD ST,PHOENIX,AZ,85040,446191,Food (Health) Supplement Stores,Corporation,White,Unanswered,Unanswered,,67,2020-04-11,"Bank of America, National Association",350000,1000000
3179,"d $350,000-1 million","MARSH DEVELOPMENT, INC.",4657 S Contractors Way,TUCSON,AZ,85714,236220,Commercial and Institutional Building Construction,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,30,2020-04-12,"JPMorgan Chase Bank, National Association",350000,1000000
3180,"d $350,000-1 million","MARSONER, INC","430 W WARNER RD, Ste 119",TEMPE,AZ,85284,453220,"Gift, Novelty, and Souvenir Stores",Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,159,2020-04-27,"Academy Bank, National Association",350000,1000000
3181,"d $350,000-1 million",MARTIN SWANTY AUTO CENTER,4180 N STOCKTON HILL RD,KINGMAN,AZ,86409,441110,New Car Dealers,Corporation,Unanswered,Unanswered,Unanswered,,31,2020-04-09,Glacier Bank,350000,1000000
3182,"d $350,000-1 million",MARTIN SWWANTY CHRYSLER PLYMOUTH DODGE,2640 E ANDY DEVINE AVE,KINGMAN,AZ,86401,441110,New Car Dealers,Corporation,Unanswered,Unanswered,Unanswered,,46,2020-04-11,Glacier Bank,350000,1000000
3183,"d $350,000-1 million","MARTINEZ SERVICE GROUP NM, INC.",625 E WHITE MOUNTAIN BLVD,PINETOP,AZ,85935,722513,Limited-Service Restaurants,Subchapter S Corporation,Hispanic,Male Owned,Non-Veteran,,172,2020-04-10,Truist Bank d/b/a Branch Banking & Trust Co,350000,1000000
3184,"d $350,000-1 million",MARYVALE PEDIATRIC SPECIALISTS LLC,"4700 N 51st Ave, Ste.4",PHOENIX,AZ,85031,621111,Offices of Physicians (except Mental Health Specialists),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,64,2020-04-10,MidFirst Bank,350000,1000000
3185,"d $350,000-1 million","MAS BELLS, LLC.",7155 E.THOMAS RD,SCOTTSDALE,AZ,85251,722513,Limited-Service Restaurants,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,27,2020-04-08,City National Bank,350000,1000000
3186,"d $350,000-1 million","MAS MANAGEMENT SERVICES, LLC",2227 S 48th Street Suites B-D,TEMPE,AZ,85282,517312,Wireless Telecommunications Carriers (except Satellite),Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,198,2020-04-11,"Zions Bank, A Division of",350000,1000000
3187,"d $350,000-1 million",MAS MELONS &AMP; GRAPES,41 KIPPER STREET SUITE A 41 KIPPER STREE SUITE A,RIO RICO,AZ,85648,424480,Fresh Fruit and Vegetable Merchant Wholesalers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
3188,"d $350,000-1 million","MASON REFRIGERATION, INC",962 E Isabella Ave,MESA,AZ,85204,561312,Executive Search Services,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,55,2020-04-13,"Readycap Lending, LLC",350000,1000000
3189,"d $350,000-1 million","MASTEL LINEN, INC.",2940 W. Virginia Ave.,PHOENIX,AZ,85009,812320,Drycleaning and Laundry Services (except Coin-Operated),Subchapter S Corporation,White,Male Owned,Veteran,,215,2020-04-11,Arizona Bank & Trust,350000,1000000
3190,"d $350,000-1 million",MASTER BLOCK,12620 W BUTLER DRIVE,EL MIRAGE,AZ,85335,327331,Concrete Block and Brick Manufacturing,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
3191,"d $350,000-1 million","MASTERPIECES PUZZLE COMPANY, INC.",12475 N RANCHO VISTOSO BLVD,ORO VALLEY,AZ,85755,451120,"Hobby, Toy, and Game Stores",Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,39,2020-04-14,BMO Harris Bank National Association,350000,1000000
3192,"d $350,000-1 million",MAT TRANSPORT INC,STE 2 3140 N 35TH AVE,PHOENIX,AZ,85017,541614,"Process, Physical Distribution, and Logistics Consulting Services",Corporation,Unanswered,Unanswered,Unanswered,,108,2020-04-30,Cross River Bank,350000,1000000
3193,"d $350,000-1 million","MATERIAL DELIVERY, INC.",2815 E. ROSE GARDEN LN,PHOENIX,AZ,85050,212321,Construction Sand and Gravel Mining,Corporation,White,Male Owned,Unanswered,,54,2020-04-28,First Fidelity Bank,350000,1000000
3194,"d $350,000-1 million",MATH AND SCIENCE SUCCESS ACADEMY INC,3448 N 1st Ave,TUCSON,AZ,85719,611110,Elementary and Secondary Schools,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,48,2020-04-28,"Harvest Small Business Finance, LLC",350000,1000000
3195,"d $350,000-1 million","MATLICK ENTERPRISES, INC.",335 N. Fourth Avenue,TUCSON,AZ,85705,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,Corporation,Unanswered,Unanswered,Unanswered,,43,2020-04-14,"Washington Federal Bank, National Association",350000,1000000
3196,"d $350,000-1 million","MATRIX MACHINE, INC.",644 W 24TH ST,TEMPE,AZ,85282,332710,Machine Shops,Corporation,Unanswered,Female Owned,Non-Veteran,,30,2020-07-13,Western State Bank,350000,1000000
3197,"d $350,000-1 million","MATRIX PLUMBING & MECHANICAL, L.L.C.",4008 E Presidio Street,MESA,AZ,85215,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,56,2020-04-14,"Alerus Financial, National Association",350000,1000000
3198,"d $350,000-1 million",MATTHEWS GOLD KENNEDY & SNOW,6530 N  16TH ST,PHOENIX,AZ,85016,541618,Other Management Consulting Services,Corporation,Unanswered,Unanswered,Unanswered,,33,2020-05-26,"Bank of America, National Association",350000,1000000
3199,"d $350,000-1 million",MAUKA LLC,671 State Route 179,SEDONA,AZ,86336,722511,Full-Service Restaurants,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,58,2020-04-04,Horizon Community Bank,350000,1000000
3200,"d $350,000-1 million",MAVERICK RESIDENTIAL LLC,5090 N 40th St Ste 190,PHOENIX,AZ,85018,531311,Residential Property Managers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,47,2020-04-10,MidFirst Bank,350000,1000000
3201,"d $350,000-1 million","MAXFAR, LLC","10240 W. Bell Road, Suite A",SUN CITY,AZ,85351,561312,Executive Search Services,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,150,2020-04-13,"Readycap Lending, LLC",350000,1000000
3202,"d $350,000-1 million",MAXIS GROUP INC,8225 East Del Camino Drive Ste. 100,SCOTTSDALE,AZ,85258,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,57,2020-04-15,"Readycap Lending, LLC",350000,1000000
3203,"d $350,000-1 million",MAXWELL & MORGAN P C,4854 E BASELINE RD STE 104,MESA,AZ,85206,541110,Offices of Lawyers,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,2020-04-27,First-Citizens Bank & Trust Company,350000,1000000
3204,"d $350,000-1 million","MAY, POTENZA, BARAN & GILLESPIE, P.C.",201 N CENTRAL AVE,PHOENIX,AZ,85004,541110,Offices of Lawyers,Corporation,Unanswered,Unanswered,Unanswered,,41,2020-04-08,Johnson Bank,350000,1000000
3205,"d $350,000-1 million","MAYESTELLES, PLLC",3636 N Central Ave,PHOENIX,AZ,85012,541110,Offices of Lawyers,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,,32,2020-04-15,"JPMorgan Chase Bank, National Association",350000,1000000
3206,"d $350,000-1 million",MBI BUILDERS LLC,3321 E. Baseline Rd,GILBERT,AZ,85234,236117,New Housing For-Sale Builders,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,53,2020-04-14,"Zions Bank, A Division of",350000,1000000
3207,"d $350,000-1 million",MBI INDUSTRIAL MEDICINE INC,3501 W osborn Rd,PHOENIX,AZ,85019,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",Corporation,Unanswered,Unanswered,Unanswered,,59,2020-04-14,"Alerus Financial, National Association",350000,1000000
3208,"d $350,000-1 million",MC CONSTRUCTION MANAGEMENT INC,38012 N Linda Drive,CAVE CREEK,AZ,85331,236220,Commercial and Institutional Building Construction,Corporation,Unanswered,Unanswered,Unanswered,,22,2020-04-27,"Bank of America, National Association",350000,1000000
3209,"d $350,000-1 million",MCCAIN CONSTRUCTION LLC,3120 W CAREFREE HWY STE 1-690,PHOENIX,AZ,85086,237110,Water and Sewer Line and Related Structures Construction,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,51,2020-04-14,"JPMorgan Chase Bank, National Association",350000,1000000
3210,"d $350,000-1 million",MCCARTHY LAW PLC,4250 N Drinkwater Blvd Ste 320,SCOTTSDALE,AZ,85251,541110,Offices of Lawyers,Subchapter S Corporation,White,Male Owned,Unanswered,,42,2020-04-14,"Alerus Financial, National Association",350000,1000000
3211,"d $350,000-1 million",MCCORMICK RANCH GOLF CLUB INC,7505 E McCormick Pkwy,SCOTTSDALE,AZ,85258,713910,Golf Courses and Country Clubs,Corporation,Unanswered,Unanswered,Non-Veteran,,100,2020-04-28,"OneWest Bank, A Division of",350000,1000000
3212,"d $350,000-1 million",MCCORMICK SYSTEMS INC,149 W BOSTON ST,CHANDLER,AZ,85225,511210,Software Publishers,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,26,2020-04-13,Western Alliance Bank,350000,1000000
3213,"d $350,000-1 million",MCCREARY-PEW INC,4121 E. RAYMOND ST,PHOENIX,AZ,85040,311111,Dog and Cat Food Manufacturing,Corporation,White,Male Owned,Non-Veteran,,46,2020-04-08,BBVA USA,350000,1000000
3214,"d $350,000-1 million",MCDONALD BROS CONSTRUCTION INC.,1535 S Quarterhorse Lane,CAMP VERDE,AZ,86322,236210,Industrial Building Construction,Corporation,Unanswered,Unanswered,Unanswered,,40,2020-05-03,"Zions Bank, A Division of",350000,1000000
3215,"d $350,000-1 million",MCMILLAN FIBERGLASS STOCKS INC,1638 W Knudsen,PHOENIX,AZ,85027,326199,All Other Plastics Product Manufacturing,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,55,2020-05-03,"Zions Bank, A Division of",350000,1000000
3216,"d $350,000-1 million","MD24, INC.",14780 W MOUNTAIN VIEW BLVD STE 110,SURPRISE,AZ,85374,621111,Offices of Physicians (except Mental Health Specialists),Corporation,Unanswered,Male Owned,Veteran,,48,2020-05-01,"JPMorgan Chase Bank, National Association",350000,1000000
3217,"d $350,000-1 million","MEADOW WOODS OF BLOOMINGTON, LP",12154 N RED MOUNTAIN DR,ORO VALLEY,AZ,85755,531312,Nonresidential Property Managers,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,112,2020-04-07,Bridgewater Bank,350000,1000000
3218,"d $350,000-1 million",MEADOWS CATALINA LLC,11175 E Edison St.,TUCSON,AZ,85749,621610,Home Health Care Services,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,135,2020-04-13,"Zions Bank, A Division of",350000,1000000
3219,"d $350,000-1 million",MECHANICAL PRODUCTS BAS,3743 WEST ROANOKE AVENUE,PHOENIX,AZ,85009,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",350000,1000000
3220,"d $350,000-1 million","MECHANICAL PRODUCTS SOUTHWEST, INC.","2629 East Rose Garden Lane, Suite 1",PHOENIX,AZ,85050,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,42,2020-04-14,"Readycap Lending, LLC",350000,1000000
3221,"d $350,000-1 million","MEGAPLANIT HOLDINGS, LLC",8700 E Vista Bonita Dr. STE 270,SCOTTSDALE,AZ,85255,541618,Other Management Consulting Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,2020-04-27,"Sunflower Bank, National Association",350000,1000000
3222,"d $350,000-1 million",MELITA CHRISTIAN FELLOWSHIP HOSPITAL AID PLAN,4500 s lakeshore drive suite 130,TEMPE,AZ,85282,813110,Religious Organizations,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,57,2020-04-14,Notre Dame FCU,350000,1000000
3223,"d $350,000-1 million","MELMED CENTER, PLLC",4848 E Cactus Rd # 940,SCOTTSDALE,AZ,85254,621111,Offices of Physicians (except Mental Health Specialists),Corporation,Unanswered,Unanswered,Unanswered,,0,2020-04-27,"Washington Federal Bank, National Association",350000,1000000
3224,"d $350,000-1 million","MELVIN ENTERTAINMENT, INC.",17797 N PERIMETER DR D-115,SCOTTSDALE,AZ,85255,713120,Amusement Arcades,Corporation,Unanswered,Male Owned,Non-Veteran,,187,2020-04-16,"JPMorgan Chase Bank, National Association",350000,1000000
3225,"d $350,000-1 million",MELVIN MELTON SERVICES INC,1200 County Rd 4162 c/o Springerville Generating Station,SPRINGERVILLE,AZ,85938,541990,"All Other Professional, Scientific, and Technical Services",Subchapter S Corporation,White,Male Owned,Non-Veteran,,27,2020-04-15,"Zions Bank, A Division of",350000,1000000
3226,"d $350,000-1 million","MEMD, INC.","7332 E Butherus Dr., Suite 102",SCOTTSDALE,AZ,85260,621111,Offices of Physicians (except Mental Health Specialists),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,46,2020-04-13,"BOKF, National Association",350000,1000000
3227,"d $350,000-1 million",MERCHANTS INFORMATION SOLUTIONS INC.,301 E Virginia Ave Ste 4000,PHOENIX,AZ,85004,423690,Other Electronic Parts and Equipment Merchant Wholesalers,Corporation,Unanswered,Unanswered,Unanswered,,29,2020-04-28,Midwest Regional Bank,350000,1000000
3228,"d $350,000-1 million","MERIT FOODS, LLC",1471 W. Commerce Ct.,TUCSON,AZ,85746,424410,General Line Grocery Merchant Wholesalers,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,95,2020-04-12,"Washington Federal Bank, National Association",350000,1000000
3229,"d $350,000-1 million","MESA COLD STORAGE, LTD",9602 W. Buckeye Road,TOLLESON,AZ,85353,493120,Refrigerated Warehousing and Storage,Corporation,Unanswered,Male Owned,Non-Veteran,,97,2020-04-12,"BOKF, National Association",350000,1000000
3230,"d $350,000-1 million",MESA COUNTRY CLUB INC,660 W Fairway Dr,MESA,AZ,85201,713910,Golf Courses and Country Clubs,Corporation,Unanswered,Unanswered,Unanswered,,68,2020-04-09,"Zions Bank, A Division of",350000,1000000
3231,"d $350,000-1 million","MESA REGAL, LLC",4700 E Main St,MESA,AZ,85205,531110,Lessors of Residential Buildings and Dwellings,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,125,2020-04-08,City National Bank,350000,1000000
3232,"d $350,000-1 million","MESCH, CLARK & ROTHSCHILD, P.C.",259 N Meyer Avenue,TUCSON,AZ,85701,541110,Offices of Lawyers,Corporation,Unanswered,Unanswered,Unanswered,,40,2020-04-08,Western Alliance Bank,350000,1000000
3233,"d $350,000-1 million",MESQUITE VALLEY GROWERS NURSERY HOLDING INC,8005 East Speedway,TUCSON,AZ,85710,111421,Nursery and Tree Production,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,90,2020-04-08,Cache Valley Bank,350000,1000000
3234,"d $350,000-1 million","METAL MAGIC, INC.",5801 S 25th Street,PHOENIX,AZ,85040,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",Sole Proprietorship,White,Male Owned,Non-Veteran,,56,2020-04-06,Western Alliance Bank,350000,1000000
3235,"d $350,000-1 million","METAL-WELD SPECIALTIES, INC",8137 N 83rd Ave,PEORIA,AZ,85345,212321,Construction Sand and Gravel Mining,Corporation,White,Male Owned,Non-Veteran,,81,2020-04-07,BBVA USA,350000,1000000
3236,"d $350,000-1 million","METATECHNOLOGIES, INCORPORATED DBA RESUL TS DIRECT",5210 E WILLIAMS CIR STE 640,TUCSON,AZ,85711,,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,39,2020-05-01,"JPMorgan Chase Bank, National Association",350000,1000000
3237,"d $350,000-1 million","METEOR CRATER ENTERPRISES, INC.",PO Box 30940,FLAGSTAFF,AZ,86003,712120,Historical Sites,Corporation,Unanswered,Unanswered,Unanswered,,39,2020-04-14,"Zions Bank, A Division of",350000,1000000
