combined_type	seqnos	calltype	responsible_company	responsible_org_type	responsible_city	responsible_state	responsible_zip	source	date_received	date_complete	description_of_incident	type_of_incident	incident_cause	incident_dtg	incident_location	location_address	location_street1	location_nearest_city	location_state	location_county	location_zip	potential_flag	distance_from_location	incident_date	incident_time	has_lat_long	fire_involved	any_evacuations	any_injuries	number_injured	any_fatalities	number_fatalities	any_damages	air_corridor_closed	waterway_closed	road_closed	media_interest	medium_desc	body_of_water	release_secured	desc_remedial_action	weather_conditions	water_supply_contaminated	additional_info	state_agency_notified	federal_agency_notified	az_incident
ALL TABLES	503550	INC	GREYHOUND BUS LINES	PRIVATE ENTERPRISE	DALLAS	TX	75266	UNAVAILABLE	1999-10-25	1999-10-25	PASSENGER BUS FUEL LINE / CAUSE OF LEAK:UNKNOWN	MOBILE	UNKNOWN	DISCOVERED		399 SOUTH MALPAIS LANE		FLAGSTAFF	AZ	COCONINO				1999-10-24	12:00:00	N	N	N	U		U		N	N	N	N		WATER		U	SECURED THE SPILL / VACUUM TRUCK WILL BE USED / INVESTIGATING TODETERMINE IF THE SANITARY HOPPER WAS PLUGGED OFF		U	NO ADDITIONAL INFORMATION			Y
ALL TABLES	503608	INC		UNKNOWN		XX		UNAVAILABLE	1999-10-25	1999-10-25	ONE RAIL CAR DERAILED IN THE YARD BECAUSE THE CREW RAN IT THROUGH ASWITCH	RAILROAD	OTHER	OCCURRED		OCCURRED IN THE YARD	25 FEET FROM THE MEXICAN	NOGALES	AZ	SANTA CRUZ				1999-10-25	19:27:00	N	N	N	U		U		U	N	N	N		RAIL REPORT (N/A)		U	NONE		U	THERE WERE MINOR DAMAGES TO THE CAR / THE CAR AND THE CREW WERE FROMMEXICO / THE CAR IS UPRIGHT WITH ONE SET OF TRUCKS OFF THE TRACK			Y
ALL TABLES	503618	INC	APACHE NITROGEN PRODUCTS	PRIVATE ENTERPRISE	BENSON	AZ	85602	UNAVAILABLE	1999-10-26	1999-10-26	NITRIC ACID PLANT STACK / RELEASE OCCURRED DURING NORMAL START UPPROCEDURES	FIXED	OTHER	OCCURRED		BOX 700	APACHE POWDER ROAD	BENSON	AZ	COCHISE	85602			1999-10-25	23:05:00	N	N	N	U		U		N	N	N	N		AIR		U	SECURED THE RELEASE		U	RELEASE DURATION:ONE HOUR 25 MINUTES / CALLER WILL NOTIFY:STATEEMERGENCY HOTLINE AND COUNTY EMERGENCY SERVICES / WIND:NE 1 MPH			Y
ALL TABLES	503658	INC		UNKNOWN		XX		UNAVAILABLE	1999-10-26	1999-10-26	FREIGHT TRAIN STRUCK PEDESTRIAN / EASTBOUND / TRACK SPD: 70MPH /TRAINSPD: UNK / 5 LOCOS 121 CARS /	RAILROAD	OTHER	OCCURRED		9TH AVE AND W 6TH STREET		TUCSON	AZ	PIMA				1999-10-26	09:27:00	N	N	N	Y	1	U		N	N	N	N		RAIL REPORT (N/A)		U	NONE		U	MINOR INJURIES TO PEDESTRIAN			Y
ALL TABLES	503781	INC		UNKNOWN		XX		UNAVAILABLE	1999-10-27	1999-10-27	2 TANK CARS DERAILED / DUE TO WIDE GAUGE ON TRACK	RAILROAD	EQUIPMENT FAILURE	OCCURRED		MP 901.5	YARD 9 TRACK 729	PHEONIX	AZ	MARICOPA				1999-10-26	20:45:00	N	N	N	U		U		U	N	N	N		RAIL REPORT (N/A)		U	NONE		U	NO HAZMAT RELEASED			Y
ALL TABLES	503854	INC	NORTH STAR STEEL	PRIVATE ENTERPRISE	KINGMAN	AZ	86413	UNAVAILABLE	1999-10-27	1999-10-27	REVERSE AIR FAN / THE MATERIAL RELEASED BECAUSE THE HATCH WAS NOTPROPERLY SECURED DURING ROUTINE MAINTENANCE	FIXED	OPERATOR ERROR	OCCURRED		3000 HWY 66 S		KINGMAN	AZ	MOHAVE	86413			1999-10-27	10:45:00	N	N	N	U		U		N	N	N	N		LAND		U	SECURED AND ISOLATED AREA / EXCAVATING SOIL		U	WILL NOTIFY: THE COUNTY			Y
ALL TABLES	503949	INC	TOSCO REFINING	PRIVATE ENTERPRISE	PHOENIX	AZ	85043	UNAVAILABLE	1999-10-28	1999-10-28	PUMP FOR PUMPING ETHANOL TO THE LOAD RACKS / SEAL FAILED	FIXED	EQUIPMENT FAILURE	DISCOVERED		10 SOUTH 51ST AVENUE		PHOENIX	AZ	MARICOPA	85043			1999-10-28	08:00:00	N	N	N	U		U		N	N	N	N		UNKNOWN		U	VALVE WAS CLOSED TO STOP THE RELEASE AND THE REMAINDER OF MATERIALWAS WASHED TO A SEPARATER		U	WILL NOTIFY: STATE DEQ / US EPA			Y
ALL TABLES	504282	INC	HIGH PLAINS CORP	PRIVATE ENTERPRISE	YORK	NE		UNAVAILABLE	1999-10-31	1999-10-31	LOOSE LIQUID LINE VALVE ASSEMBLY ON TO OF A RAIL TANK CAR: GATX80634VALVE WAS NEWLY INSTALLED AND HAD BEEN IMPROPERLY SECURED	RAILROAD	OPERATOR ERROR	DISCOVERED		PHOENIX RAILYARD	TRACK: UNK	PHOENIX	AZ	MARICOPA				1999-10-31	19:00:00	N	N	N	U		U		N	N	N	N		AIR		U	VALVE WAS TIGHTENED AND REPAIRED / MATERIAL VAPORIZED BEFORE REACHINGTHE GROUND		U				Y
ALL TABLES	504351	INC	RPS INC.	PRIVATE ENTERPRISE	CORAOPOLIS	PA	15108	UNAVAILABLE	1999-11-01	1999-11-01	SEMI TRUCK / TRUCK INVOLVED IN ACCIDENT/OTHER DRIVER MADED AN ILLEGALTURN / RELEASED DIESEL FROM TRUCKS SADDLE TANK ON PAVEMENT	MOBILE	OPERATOR ERROR	OCCURRED		I-17 SOUTH BOUND LANES	MILE MARKER: 333	FLAGSTAFF	AZ	COCONINO				1999-11-01	04:00:00	N	N	N	U		U		N	N	N	Y		LAND		U	I-17 SOUTH BOUND LNS CLOSED FOR COUPLE HRS/SPILL CONTAINED WITH SANDBY DOT / SPILL SECURED		U	CALLER HAD NO WEATHER CONDITIONS			Y
ALL TABLES	504519	INC	APACHE NITROGEN PRODUCTS	PRIVATE ENTERPRISE	BENSON	AZ	85602	UNAVAILABLE	1999-11-02	1999-11-02	PLANT START UP / MATERIAL WAS RELEASED DUE TO START UP	FIXED	OTHER	OCCURRED		APACHE POWDER ROAD		BENSON	AZ	COCHISE	85602			1999-11-02	14:53:00	N	N	N	U		U		N	N		N		AIR									Y
ALL TABLES	504541	INC		UNKNOWN		XX		UNAVAILABLE	1999-11-02	1999-11-02	UNKNOWN/UNKNOWN   CALLER SAW A PICKUP TRUCK/A TANKER TRUCK AND A CARDRIVE BY TOWARDS A DITCH AND SUSPECTS THAT THEY ARE DUMPING SUBSTANCE	MOBILE	DUMPING	DISCOVERED		SOUTH END OF MAVERICK RD		GOLDEN VALLEY	AZ	MOHAVE				1999-11-02	20:07:00	N	N	N	U		U		N	N	N	N		LAND		U	AREA IS NOT NEAR ANY WATERWAYS		U	CALLER DIDN'T SEE ANY MARKINGS ON TRUCKS BUT DID SAY THAT PICKUP TRUCKIS RED			Y
ALL TABLES	504615	INC	KNIGHT TRANSPORTATION	PRIVATE ENTERPRISE	PHOENIX	AZ	85043	UNAVAILABLE	1999-11-03	1999-11-03	TRACTOR TRAILER / THE SADDLE TANK WAS RUPTURED DUE TO AN ACCIDENT / NONHAZMAT CARRIER	MOBILE	OTHER	DISCOVERED		WESTBOUND HWY 58		TEHACHAPI	CA	KERN			3.3 MI W	1999-11-02	16:00:00	N	N	N	U		U		U	N	N	Y		LAND		U	LESS THAN 200 GALLONS SPILLED / WILL EXCAVATE THE CONTAMINATED SOIL ONTHE 5TH		U	ONE WESTBOUND LANE WAS CLOSED FOR AN UNDETERMINED LENGTH OF TIME			Y
ALL TABLES	504655	INC		UNKNOWN		XX		UNAVAILABLE	1999-11-03	1999-11-03	TRAIN STUCK TRESPASSER	RAILROAD NON-RELEASE	UNKNOWN	OCCURRED		RURAL ROAD		TEMPE	AZ	MARICOPA				1999-11-03	21:39:00	N	N	N	Y	1	U		N	N	N	N		RAIL REPORT (N/A)		U	NONE		U	TRACK SPEED UNKNOWN TRAIN WAS TRAVELING WEST BOUND / OPERATIONALCROSSING GATES WERE IN PLACE AT THE TIME OF INCIDENT			Y
ALL TABLES	504666	INC		UNKNOWN		XX		UNAVAILABLE	1999-11-04	1999-11-04	2 LOCOMOTIVES AND 1 TANK CAR DERAILED IN YARD / ALL 3 ARE UPRIGHTCAUSE UNKNOWN BUT COULD HAVE OCCURED DURING SWITCHING OPS	RAILROAD	UNKNOWN	OCCURRED		PHOENIX YARD		PHOENIX	AZ	MARICOPA				1999-11-04	06:20:00	N	N	N	U		U		N	N	N	N		RAIL REPORT (N/A)		U	NONE		U	ALL CARS ARE UPRIGHT / 1 LOCOMOTIVE IS UPRIGHT ON THE GROUND /FULLY LOADED DENATURED ALCOHOL IN TANK CAR BUT NO RELEASE			Y
ALL TABLES	504742	INC	TYRO MILL ORE MILL	PRIVATE ENTERPRISE		XX		UNAVAILABLE	1999-11-04	1999-11-04	PALLETS OF CAUSTIC LYE OR SODIUM HYDROXIDE / RAIN WATER DETERIORATEDBAGS AND RELEASED TO SOIL	FIXED	NATURAL PHENOMENON	DISCOVERED				BULLHEAD	AZ	MOHAVE			9 MI NE	1999-10-28	12:00:00	Y	N	N	U		U		N	N	N	N		LAND		U	PLAN IS BEING FORMED FOR OWNER TO RECLAIM MILL SITE WHERE RELEASEHAS OCCURED		U	WILL NOTIFY:  DEQ / MILE INSPECTOR			Y
ALL TABLES	504762	INC	ARIZONA PUBLIC SERVICE	PUBLIC UTILITY	PHOENIX	AZ	850723933	UNAVAILABLE	1999-11-04	1999-11-04	POLE OR PAD MOUNTED TRANSFORMER (KVA UNKNOWN)/TRANSFORMER FELL OFFBACK OF LINE TRUCK WHILE EN ROUTE	MOBILE	TRANSPORT ACCIDENT	OCCURRED		SE CORNER OF 83RD AVE	AND UNION HILLS	PHOENIX	AZ	MARICOPA				1999-11-04	16:00:00	N	N	N	U		U		N	N	N	N		WATER		U	APPLIED ABSORBENT ON SPILL SIGHT TO STOP FURTHER CONTAMINATION OF STORMSEWER AND CLEANED UP MATERIAL		U	SIZE OF IMPACTED AREA OR SHEEN STATUS UNKNOWN TO CALLER  WX:CLEAR/WIND:NO WIND/87F			Y
ALL TABLES	504800	INC	U.S.BUREAU OF RECLAMATION	FEDERAL GOVERNMENT	YUMA	AZ	85366	UNAVAILABLE	1999-11-05	1999-11-05	"HYDRAULIC LINE ON ""CIBOLA"" DREDGE/LINE BROKE UNDER NORMAL USE"	VESSEL	EQUIPMENT FAILURE	OCCURRED		COLORADO RIVER  MM 33	IN BACKWATER	QUECHAN INDIAN RES	AZ	YUMA				1999-11-04	17:30:00	N	N	N	U		U		N	N	N	N		WATER		U	SERVICE BOAT PULLED BOOM AROUND DREDGE AND MATERIAL WAS SOAKED UP WITHABSORBENT PADS		U	SHEEN SIZE:UNKNOWN/YELLOWWILL CALL: QUESCHAN RESERVATION			Y
ALL TABLES	505002	INC		UNKNOWN		XX		UNAVAILABLE	1999-11-07	1999-11-07	20-30 BAGS OF BIO WASTE / BLOOD AND URINE FOUND ALONG ROADSIDE	UNKNOWN SHEEN	DUMPING	DISCOVERED		127 AVE AND WEST MISSOURI	AVE	MARICOPA	AZ	MARICOPA				1999-11-07	15:05:00	N	N	N	U		U		N	N	N	N		LAND		U	MARICOPA COUNTY ENVIRONMENTAL SERVICE/ FD/ SHERIFFS DEPARTMENTARIZONA ENVIRONMENTAL COUNTY ARE PROVIDING CLEAN UP		U	MARICOPA COUNTY EMERGENCY MANAGEMENT/ PD/ FD HAVE BEEN NOTIFIED			Y
ALL TABLES	505282	INC	U.S.BUREAU OF RECLAMATION	FEDERAL GOVERNMENT	YUMA	AZ	85366	UNAVAILABLE	1999-11-10	1999-11-10	"DREDGE ""MOHAVE"" / THE CUTTERHEAD STRUCK A ROCK WHILE DREDGING CAUSINGA SPILL"	VESSEL	EQUIPMENT FAILURE	OCCURRED		LAUGHLIN LAGOON	ACROSS FROM THE CITY	LAUGHLIN	NV	CLARK				1999-11-06	21:20:00	N	N	N	U		U		N	N	N	N		WATER		U	30-40 GALLONS SPILLED TOTAL / CONCENTRATION: 90 PERCENT VEGETABLE OIL /10 PERCENT XYLENE / USED ABSORBENTS FOR CLEAN UP / BOOM DEPLOYED		U	THE LAGOON WAS MOSTLY DRY AT THE TIME OF THE SPILL / WILL NOTIFY: THECOUNTY AND THE STATE			Y
ALL TABLES	505352	INC		UNKNOWN		XX		UNAVAILABLE	1999-11-10	1999-11-10	THE CALLER STATES THAT AN UNKNOWN PERSON HAS ILLEGALLY DUMPED SOMEHAZARDOUS MATERIAL ON LAND MANAGEMENT PROPERTY	FIXED	DUMPING	DISCOVERED		30 MILES NORTHEAST OF	COURTSIDE	COURTSIDE	AZ	LA PAZ				1999-11-10	10:00:00	Y	N	N	U		U		N	N	N	N		LAND		U	A CONTRACTOR WILL BE HIRED TO MITIGATE		U	(1) 5 GALLON CAN OF THINNER...(1) 5 GALLON PLASTIC BUCKET OF WASTE OIL(3)2 GALLON PLASTIC BUCKETS OF WASTE OIL			Y
ALL TABLES	505862	INC	VALLEY REFINING LLC	PRIVATE ENTERPRISE	EL MIRAGE	AZ	85335	UNAVAILABLE	1999-11-15	1999-11-15	PRESSURE RELIEF VALVE / VALVE RELEASED AND FAILED TO RESEAT CAUSINGRELEASE / RELEASE IS SECURED / DURATION: 6HRS / VALVE WAS REPAIRED	FIXED	EQUIPMENT FAILURE	OCCURRED		12126 WEST OLIVE AVE		EL MIRAGE	AZ	MARICOPA	85335			1999-11-09	04:30:00	N	N	N	U		U		N	N	N	N		AIR		U	395 LBS WENT TO ATMOSPHERE /REMAINDER WENT TO SECONDARY CONTAINMENT ANDWAS RECOVERED /		U	ESTIMATED 20-30 PERS EVACUATED AT 2 OFFSITE FACILITIES AS PRECAUTIONFOR ABOUT 8 HRS / WX: CLEAR /TEMP:65 /WIND: LIGHT			Y
ALL TABLES	506155	INC		UNKNOWN		XX		UNAVAILABLE	1999-11-17	1999-11-17	SMALL SINGLE ENGINE EX MILITARY TYPE AIRCRAFT/AIRCRAFT TOOK OFF ANDCRASHED SHORTLY AFTER TAKE-OFF	AIRCRAFT	UNKNOWN	OCCURRED		5835 SOUTH SOSSAMAN ROAD		MESA	AZ	MARICOPA	852120919			1999-11-17	17:00:00	N	N	N	Y	1	U		N	N	N	N		LAND		U	AIRPORT HAZMAT/FD/PD RESPONDED AND CONTAINED MATERIAL		U	SIZE OF IMPACTED AREA:20FT X 1FT/ PILOT INJURED DUE TO IMPACT			Y
ALL TABLES	506777	INC		UNKNOWN		XX		UNAVAILABLE	1999-11-24	1999-11-24	FREIGHT TRAIN / TRAIN COLLIDED WITH TIRE TRUCK AT CROSSING / DIRECTION:WEST BOUND / SPEED: UNK / CALLER HAD NO INFORMATION ON DEVEICES	RAILROAD NON-RELEASE	OTHER	OCCURRED		PRIZE ROAD		TEMPE	AZ	MARICOPA				1999-11-24	07:56:00	N	N	N	U		U		N	N	N	N		RAIL REPORT (N/A)		U	NONE		U	CALLER HAD NO WEATHER CONDITIONS / TRAIN HAD 3 LOCOMOTIVES AND 96 CARS			Y
ALL TABLES	506809	INC	CITIZENS UTILITY GAS COM.	PUBLIC UTILITY	FLAGSTAFF	AZ		UNAVAILABLE	1999-11-24	1999-11-24	4 INCH GAS MAIN / A PIECE OF HEAVY EQUIPMENT RUPTURED THE LINE CAUSINGA FIRE	PIPELINE	OPERATOR ERROR	OCCURRED		OFF DRY CREEK RD	BETWEEN 89A AND KATCHINA	SEDONA	AZ	YAVAPAI				1999-11-24	10:34:00	N	N	N	U		U		N	N	N	N		AIR		U	THE FIRE IS STILL ONGOING / WILL SHUT IN THE LINE / UNKNOWN WHATCUSTOMERS MAY BE AFFECTED		U	THE CALLER HAD NO OTHER INFORMATION AT THIS TIME			Y
ALL TABLES	506834	INC	SWIFT AVIATION	PRIVATE ENTERPRISE	PHOENIX	AZ		UNAVAILABLE	1999-11-24	1999-11-24	FUEL TRUCK  / FUEL TRUCK WAS INVOLVED IN A SINGLE VEHICLE ACCIDENT; ASA RESULT, 1250 GALLONS OF JET FUEL WAS RELEASED.	MOBILE	TRANSPORT ACCIDENT	OCCURRED		SKY HARBOR AIRPORT		PHOENIX	AZ	MARICOPA				1999-11-23	15:45:00	N	N	N	U		U		N	N	N	N		WATER		U	THE RELEASE WAS SECURED / A CONTRACTOR WAS HIRED TO MITIGATE		U	SHEEN SIZE:UNKNOWN / COLOR:RAINBOWWEATHER COND:UNKNOWN			Y
ALL TABLES	506844	INC	APACHE NITROGEN PRODUCTS	PRIVATE ENTERPRISE	BENSON	AZ	85602	UNAVAILABLE	1999-11-24	1999-11-24	STACK / RELEASE OCCURED DURING START-UP OF NITRIC ACID PLANT(NATURAL OCCURANCE DURING START-UP PHASE)	FIXED	OTHER	OCCURRED		BOX 700	APACHE POWDER ROAD	BENSON	AZ	COCHISE	85602			1999-11-24	18:54:00	N	N	N	U		U		N	N	N	N		AIR		U	START-UP PHASE WAS COMPLETED AND RELEASE SECURED ITSELF		U	WX:CLEAR/WIND:S 5MPH/50F			Y
ALL TABLES	506897	INC	APACHE NITROGEN PRODUCTS	PRIVATE ENTERPRISE	BENSON	AZ	85602	UNAVAILABLE	1999-11-26	1999-11-26	PLANT START UP FLARE STACK /PLANT TRIPPED / RELEASED NITROGEN OXIDECAS: 10102-44-0 INTO ATMOSPHERE	FIXED	EQUIPMENT FAILURE	OCCURRED		APACHES POWER ROAD		BENSON	AZ	COCHISE	85602			1999-11-26	07:40:00	N	N	N	U		U		N	N	N	N		AIR		U	PLANT FINISH START UP / RELEASE LASTED 25 MINS / RELEASE SECURED		U	TEMP: 68F / CLOUD COVER: CLEAR / WIND: NORTHEAST			Y
ALL TABLES	506929	INC	CALJET LLC	PRIVATE ENTERPRISE	PHOENIX	AZ	85043	UNAVAILABLE	1999-11-26	1999-11-26	8 INCH UNDERGROUND LINE / THE LINE LEAKED DUE TO UNKNOWN CAUSES / WILLEXCAVATE THE LINE TO DETERMINE CAUSE	PIPELINE	UNKNOWN	DISCOVERED		125 NORTH 53RD AVE		PHOENIX	AZ	MARICOPA	85043			1999-11-25	12:30:00	N	N	N	U		U		N	N	N	N		LAND		U	SECURED THE RELEASE / THE LINE WILL BE EXCAVATED, THEN THE COURSE OFACTION FOR CLEAN UP WILL BE DETERMINED / THE SPILL IS UNDER CONCRETE		U	THE SPILL IS ENTIRELY UNDERGROUND / WILL NOTIFY THE SERC / THE CALLERHAD NO OTHER INFORMATION			Y
ALL TABLES	506991	INC	DEPT OF INTERIOR	FEDERAL GOVERNMENT	HUMMA	AZ	85366	UNAVAILABLE	1999-11-27	1999-11-27	MATERIAL WAS SPILLED WHEN HYDROLIC FLUID SPILLED FROM THE ARM OF THECUTTER HEAD /SHEEN SIZE 4 X 4 FT	VESSEL	EQUIPMENT FAILURE	DISCOVERED		LAUGHLIN, NV	BACKWATER OF COLORADO	LAUGHLIN	NV	CLARK				1999-11-26	11:00:00	N	N	N	U		U		N	N	N	N		WATER		U	PADS AND BOOM DEPLOYED / ALL MATERIAL HAS BEEN CLEANED UP		U	WILL NOTIFY NV STATE DEP			Y
ALL TABLES	507351	INC	TURQOISE VALLEY GOLF & RV	PRIVATE ENTERPRISE	NACO	AZ	85260	UNAVAILABLE	1999-11-30	1999-11-30	DUMP LOCATED IN MEXICO / FIRE AT DUMP CAUSED NOXIOUS FUMES CAUSINGRESIDENTS TO LEAVE RV PARK AND SURROUNDING RESIDENCES	FIXED	UNKNOWN	OCCURRED		DUMP LOCATED 1 1/2 MILE	EAST OF NACO AZ	NACO	AZ	COCHISE	85260			1999-11-22	17:30:00	N	N	N	N	0	N	0	N	N	N	N		AIR		U	NONE		U	OCCUPANTS AT RV PARK LEFT THE AREA TO ESCAPE NOXIOUS ODOR.			Y
ALL TABLES	507458	INC	ARIZONA EXTERMINATING	PRIVATE ENTERPRISE	PHOENIX	AZ	85008	UNAVAILABLE	1999-12-01	1999-12-01	THE CALLER STATED THAT THE RP DUMPED THE CONTENTS OF HIS EXTERMINATERTRUCK ONTO THE GROUND IN FRONT ON THE CALLER'S PROPERTY	MOBILE	DUMPING	DISCOVERED		2005 N 48TH STREET NO.4		PHOENIX	AZ	MARICOPA	85008			1999-12-01	10:00:00	N	N	N	U		U		N	N		N		LAND									Y
ALL TABLES	507480	INC	APACHE NITROGEN PRODUCTS	PRIVATE ENTERPRISE	BENSON	AZ	85602	UNAVAILABLE	1999-12-02	1999-12-02	FLARE / RELEASE DUE TO PLANT START-UP	FIXED	OTHER	OCCURRED		APACHE POWDER RD		CURTIS	AZ	COCHISE				1999-12-02	02:30:00	N	N	N	U		U		N	N	N	N		AIR		U	COMPLETED START-UP		U	NO OFFSITE IMPACT REPORTED / RELEASE DURATION: 45 MINUTESWEATHER: CLEAR    WIND: SE 2MPH   TEMP: 55F			Y
ALL TABLES	507599	INC		UNKNOWN		XX		UNAVAILABLE	1999-12-02	1999-12-02	FREIGHT TRAIN DERAILMENT / 3 ENGINES AND 9 RAIL CARS DERAILED DUE TO ANUNKNOWN CAUSE / TRACK SPEED: 70 MPH / TRAIN SPEED: UNKNOWN	RAILROAD	UNKNOWN	OCCURRED		GILA SUBDIVISION	EASTBOUND TRAIN	YUMA	AZ	YUMA				1999-12-02	13:15:00	N	N	N	U		U		U	N	N	N		RAIL REPORT (N/A)		U	NONE		U	ALL CARS AND ENGINES ARE UPRIGHT / TRAIN MAKE UP: 9 CARS AND 4 ENGINES			Y
ALL TABLES	507612	INC	PHELPS DODGE MORENCI	PRIVATE ENTERPRISE	MORENCI	AZ	85540	UNAVAILABLE	1999-12-02	1999-12-02	10 INCH PROCESS PIPELINE / THE LINE RUPTURED CAUSING A SPILL / NON DOTREGULATED PIPELINE	PIPELINE	EQUIPMENT FAILURE	OCCURRED		4521 US HWY 191		MORENCI	AZ	GREENLEE	85540			1999-12-02	12:30:00	N	N	N	U		U		N	N	N	N		LAND		U	ACID CONCENTRATION: 5.7 GRAMS PER LITER / NAME OF THE MATERIAL SPILLEDIS RAFFINATE / PUMPING SURFACE / EXCAVATING AFFECTED ROADWAY		U	WILL NOTIFY: ADEQ			Y
ALL TABLES	507736	INC	APACHE NITROGEN PRODUCTS	PRIVATE ENTERPRISE	BENSON	AZ	85602	UNAVAILABLE	1999-12-03	1999-12-03	"FLARE STACK / A RELEASE OF 150 LBS OF ""NOX"" GAS OCCURRED DURING A UNITSTART-UP"	FIXED	OTHER	OCCURRED		APACHE POWDER ROAD		BENSON	AZ	COCHISE	85602			1999-12-03	15:45:00	N	N	N	U		U		N	N	N	N		AIR		U	THE RELEASE WAS SECURED		U	WILL NOTIFY:SERC, LEPC			Y
ALL TABLES	508175	INC	CALJET	PRIVATE ENTERPRISE	PHOENIX	AZ		UNAVAILABLE	1999-12-07	1999-12-07	UNDERGROUND FUEL LINE / UNKNOWN.....LINE DEVELOPED A LEAK	FIXED	UNKNOWN	DISCOVERED		125 NORTH 53RD AVE		PHOENIX	AZ	MARICOPA				1999-12-07	02:00:00	N	N	N	U		U		N	N	N	N		LAND		U	THE RELEASE WAS SECURED.....		U	WILL NOTIFY:SERC			Y
ALL TABLES	508600	INC		UNKNOWN		XX		UNAVAILABLE	1999-12-10	1999-12-10	CALLER STATES SOME UNK PERSON SPILLED MERCURY ON PAVEMENT	UNKNOWN SHEEN	UNKNOWN	DISCOVERED		INSECTION OF I-17 AND	ARIZONA HWY 69	CORDES JUNCTION	AZ	YAVAPAI				1999-12-08	13:30:00	N	N	N	U		U		N	N	N	N		LAND		U	SPILLED LESS THAN 1 LBS / FIRE DEPT WAS ON SCENE / ENVIRONMENTALRESPONSE DID CLEAN UP WITH A VACUUM FILTER/ SPILL SECURED		U	TEMP: LOW 50'S / CLOUD COVER: PARTLY CLOUDY / WIND: UNKCALLER WILL NOTIFY: YAVAPAI COUNTY / AS DEQ			Y
ALL TABLES	508609	INC	SWIFT TRANSPORTATION	PRIVATE ENTERPRISE	PHOENIX	AZ		UNAVAILABLE	1999-12-10	1999-12-10	SADDLE TANKS OF 18 WHEELER TRACTOR TRAILER TRUCK/TRUCK STRUCK ANAMTRAK TRAIN AT GRADE CROSSING	MOBILE	UNKNOWN	DISCOVERED		MARION RUSSELL ROAD		MERIDIAN	MS	LAUDERDALE				1999-12-10	12:45:00	N	N	N	U		Y	1	N	N	N	N		LAND		U	CONTRACTOR WILL FACILITATE CLEANUP		U	SIZE OF IMPACTED AREA:800FT			Y
ALL TABLES	508633	INC	ARAMARK LEISURE SVCS	PRIVATE ENTERPRISE	PAGE	AZ	86040	UNAVAILABLE	1999-12-10	1999-12-10	OIL SYSTEMS DISPENSER NOZZLE/NOZZLE ON NEW SYSTEM BECAME LOOSE	FIXED	EQUIPMENT FAILURE	DISCOVERED		100 LAKE SHORE DRIVE	PO BOX 1597 (AT STATE	PAGE	AZ	COCONINO	86040			1999-12-10	14:44:00	N	N	N	U		U		N	N	N	N		WATER		U	ABSORBENT DIAPERS USED TO PREVENT ADDITIONAL RUNOFF INTO WATER/USEDBOOM TO CONTAIN MATERIAL ON WATER AND CLEANED WITH ABSORBENT DIAPERS		U	SHEEN SIZE:70FT X 50FTWILL CALL: UDEQ			Y
ALL TABLES	508639	INC	ARAMARK LEISURE SVS	PRIVATE ENTERPRISE		XX		UNAVAILABLE	1999-12-10	1999-12-10	UNKNOWN/MECHANICAL FAILURE OF UNKNOWN TYPE OF MACHINE	UNKNOWN SHEEN	EQUIPMENT FAILURE	DISCOVERED		GLEN CANYON NATIONAL	RECREATION AREA	PAGE	AZ	COCONINO	86040			1999-12-10	16:35:00	N	N	N	U		U		N	N	N	N		WATER		U	AREA WAS BOOMED AND DIAPERED		U	SHEEN SIZE UNKNOWN TO CALLERWILL CALL: UT ENVIRONMENTAL DEPT   CANE COUNTY SHERIFF DEPT			Y
ALL TABLES	508687	INC	APACHE NITROGEN PRODUCTS	PRIVATE ENTERPRISE	BENSON	AZ	85602	UNAVAILABLE	1999-12-11	1999-12-11	NITRIC PLANT STACK / RELEASE OCCURRED DURING STARTUP	FIXED	OTHER	DISCOVERED		BOX 700	APACHE POWDER ROAD	BENSON	AZ	COCHISE	85602			1999-12-11	12:40:00	N	N	N	U		U		N	N	N	N		AIR		U			U	START UP OF THE PLANT WAS CONTINUED AND THE RELEASE WAS SECURED			Y
ALL TABLES	508919	INC	DEER VALLEY EQUIP. RENTAL	PRIVATE CITIZEN	PHOENIX	AZ	85032	UNAVAILABLE	1999-12-14	1999-12-14	CALLER STATE CO. EQUIPMENT IS LEAKING ON SOIL	FIXED	OPERATOR ERROR	OCCURRED		1818 WEST BELL ROAD		PHOENIX	AZ	MARICOPA	85032			1999-12-14	08:00:00	N	N	N	U		U		N	N	N	N		LAND		U	THIS IS AN ONGOING PROBLEM / CALLER STATES AN INSPECTOR WAS ON SITELAST WEEK, CO. HAD PERSONNEL TO COVER SPILL WITH TRACTOR AND DIRT		U	TEMP: 35F / CLOUD COVER: CLOUDY / WIND: UNK			Y
