case_id,status,case_received,employer,address,city,state,zipcode,worksite,phone,job_title,crop,workers,base_pay
H-300-18219-822436,DETERMINATION ISSUED - CERTIFICATION,2018-08-07T00:00:00Z,"Fresh Harvest, Inc.","Corporate Office: 101 E. Main Street, Heber, CA 92249",Somerton,AZ,85352,"Yuma, AZ 85365",760-352-5212,"Farmworkers & Laborers, Citrus",Citrus,60,10.5
H-300-18220-459991,DETERMINATION ISSUED - DENIED,2018-08-15T00:00:00Z,PURPLE KARAT,4762 N 189TH AVENUE,LITCHFIELD PARK,AZ,85340,"LITCHFIELD PARK, AZ 85340",623-266-4031,Salad Processing and farm labor,Lettuce,10,10.5
H-300-18220-492345,DETERMINATION ISSUED - WITHDRAWN,2018-08-08T00:00:00Z,"El Rancho Grande, LLC",6735 W. Frier Dr.,Glendale,AZ,85303,"Gila River Indian Community, NA N/A",623-934-9415,Agricultural laborers/workers,Hay and Straw,8,11
H-300-18219-389310,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2018-08-07T00:00:00Z,"SILVER CANYON NURSERIES, INC.",2647 E. Southern Avenue,Phoenix,AZ,85040,"Dateland, AZ 85333",602-268-9466,"Farmworkers, Laborers, Crop, Nursery, & Greenhouse",Trees,20,10.5
H-300-18221-838716,DETERMINATION ISSUED - CERTIFICATION,2018-08-09T00:00:00Z,MANTEROLA SHEEP COMPANY INC,"Physical: 20625 W. Clayton Rd., Casa Grande AZ 85193",Casa Grande,AZ,85130,"Casa Grande, AZ 85193",520-836-8597,Range Livestock Worker,Open Range Livestock,2,1584.22
H-300-18234-962671,DETERMINATION ISSUED - CERTIFICATION,2018-08-22T00:00:00Z,Agro-Cargo LLC,17614 S Avenue 1 1/2 E,Yuma,AZ,85365,"Yuma, AZ 85365",928-344-2892,General Farmworker,Lettuce,41,10.5
H-300-18218-718376,DETERMINATION ISSUED - CERTIFICATION,2018-08-20T00:00:00Z,"RANCHO NUEVO HARVESTING, INC.",1225 LA BREA AVE,SANTA MARIA,CA,93458,"Yuma, AZ 85356",805-347-1370,"Field Worker (Melon Harvest, General Labor)",Melons,108,10.5
H-300-18220-665047,DETERMINATION ISSUED - PARTIAL CERTIFICATION,2018-08-23T00:00:00Z,"FOOTHILL PACKING, INC.","HEADQUARTERS: 582 MOFFETT STREET SUITE G, SALINAS, CA 93905",YUMA,AZ,85365,"San Luis, AZ 85365",831-784-1453,Field Workers,Spinach,33,10.95
H-300-18226-195498,DETERMINATION ISSUED - CERTIFICATION,2018-08-27T00:00:00Z,"FOOTHILL PACKING, INC.","HEADQUARTERS: 1582 MOFFETT STREET SUITE G, SALINAS, CA 93905",YUMA,AZ,85365,"Dome Valley, AZ 85365",831-784-1453,Field Workers,Citrus,200,10.95
H-300-18236-658425,DETERMINATION ISSUED - CERTIFICATION,2018-08-24T00:00:00Z,R.C. Packing LLC,26769 El Camino Real North,Gonzalez,CA,93926,"Yuma, AZ 85364",831-675-0308,Farmworker,Lettuce,240,10.5
H-300-18201-774615,DETERMINATION ISSUED - WITHDRAWN,2018-07-27T00:00:00Z,"UNITED AG LABOR SERVICES, INC.",125 W MILL ST,SANTA MARIA,CA,93458,"TACNA, AZ 85352",805-310-5970,LETTUCE HARVESTER,Lettuce,14,10.5
H-300-18233-635788,DETERMINATION ISSUED - CERTIFICATION,2018-08-23T00:00:00Z,"Servicios Agricolas Mex, Inc.",15368 W. Westview Dr.,Goodyear,AZ,85395,"Scottsdale, AZ 85256",623-374-1167,General Farmworkers,Broccoli,200,10.5
H-300-18239-423615,DETERMINATION ISSUED - CERTIFICATION,2018-08-28T00:00:00Z,"The Growers Company,  Inc.",P.O. Box 3170,Somerton,AZ,85350,"Coalinga, CA 93234",928-627-8080,General Farmworkers,Lettuce,100,13.18
H-300-18233-305400,DETERMINATION ISSUED - CERTIFICATION,2018-09-06T00:00:00Z,ELKHORN PACKING CO. LLC,60 W MARKET ST. STE 150,SALINAS,CA,93901,"Yuma, AZ 85365",831-676-3833,Field Worker (Mix Romaine and Romaine Hearts),Romaine Lettuce,210,13.35
