original order	Original	PACEIndicator	Report date	County	Enrollment	orig total
1190	FIDELIS CARE AT HOME	Partial capitation	FEBRUARY 1, 2014	SUFFOLK	412.0	7959.0
1191	FIDELIS CARE AT HOME	Partial capitation	FEBRUARY 1, 2014	SULLIVAN	5.0	7959.0
1192	FIDELIS CARE AT HOME	Partial capitation	FEBRUARY 1, 2014	TIOGA	1.0	7959.0
1193	FIDELIS CARE AT HOME	Partial capitation	FEBRUARY 1, 2014	TOMPKINS	2.0	7959.0
1194	FIDELIS CARE AT HOME	Partial capitation	FEBRUARY 1, 2014	ULSTER	28.0	7959.0
1195	FIDELIS CARE AT HOME	Partial capitation	FEBRUARY 1, 2014	WARREN	1.0	7959.0
1196	FIDELIS CARE AT HOME	Partial capitation	FEBRUARY 1, 2014	WASHINGTON	5.0	7959.0
1197	FIDELIS CARE AT HOME	Partial capitation	FEBRUARY 1, 2014	WESTCHESTER	246.0	7959.0
1199	GUILDNET	Partial capitation	FEBRUARY 1, 2014	NASSAU	1508.0	14347.0
1200	GUILDNET	Partial capitation	FEBRUARY 1, 2014	NEW YORK	11336.0	14347.0
1201	GUILDNET	Partial capitation	FEBRUARY 1, 2014	SUFFOLK	1331.0	14347.0
1202	GUILDNET	Partial capitation	FEBRUARY 1, 2014	WESTCHESTER	172.0	14347.0
1204	HAMASPIK CHOICE	Partial capitation	FEBRUARY 1, 2014	ORANGE	53.0	116.0
1205	HAMASPIK CHOICE	Partial capitation	FEBRUARY 1, 2014	ROCKLAND	34.0	116.0
1206	HAMASPIK CHOICE	Partial capitation	FEBRUARY 1, 2014	SULLIVAN	29.0	116.0
1208	HHH CHOICES	Partial capitation	FEBRUARY 1, 2014	NEW YORK	2279.0	2358.0
1209	HHH CHOICES	Partial capitation	FEBRUARY 1, 2014	WESTCHESTER	79.0	2358.0
1211	HIP OF GREATER NEW YORK	Partial capitation	FEBRUARY 1, 2014	NASSAU	257.0	1364.0
1212	HIP OF GREATER NEW YORK	Partial capitation	FEBRUARY 1, 2014	NEW YORK	1002.0	1364.0
1213	HIP OF GREATER NEW YORK	Partial capitation	FEBRUARY 1, 2014	SUFFOLK	62.0	1364.0
1214	HIP OF GREATER NEW YORK	Partial capitation	FEBRUARY 1, 2014	WESTCHESTER	43.0	1364.0
1216	INDEPENDENCE CARE SYSTEMS	Partial capitation	FEBRUARY 1, 2014	NEW YORK	5067.0	5067.0
1218	INTEGRA	Partial capitation	FEBRUARY 1, 2014	NASSAU	35.0	817.0
1219	INTEGRA	Partial capitation	FEBRUARY 1, 2014	NEW YORK	745.0	817.0
1220	INTEGRA	Partial capitation	FEBRUARY 1, 2014	SUFFOLK	20.0	817.0
1221	INTEGRA	Partial capitation	FEBRUARY 1, 2014	WESTCHESTER	17.0	817.0
1223	METROPLUS 	Partial capitation	FEBRUARY 1, 2014	NEW YORK	472.0	472.0
1225	MONTEFIORE HMO	Partial capitation	FEBRUARY 1, 2014	NEW YORK	114.0	135.0
1226	MONTEFIORE HMO	Partial capitation	FEBRUARY 1, 2014	WESTCHESTER	21.0	135.0
1228	NORTH SHORE-LIJ HEALTH PLAN	Partial capitation	FEBRUARY 1, 2014	NASSAU	230.0	515.0
1229	NORTH SHORE-LIJ HEALTH PLAN	Partial capitation	FEBRUARY 1, 2014	NEW YORK	282.0	515.0
1230	NORTH SHORE-LIJ HEALTH PLAN	Partial capitation	FEBRUARY 1, 2014	SUFFOLK	3.0	515.0
1232	SENIOR HEALTH PARTNERS INC	Partial capitation	FEBRUARY 1, 2014	NASSAU	195.0	11011.0
1233	SENIOR HEALTH PARTNERS INC	Partial capitation	FEBRUARY 1, 2014	NEW YORK	10685.0	11011.0
1234	SENIOR HEALTH PARTNERS INC	Partial capitation	FEBRUARY 1, 2014	WESTCHESTER	131.0	11011.0
1236	SENIOR NETWORK HEALTH	Partial capitation	FEBRUARY 1, 2014	HERKIMER	49.0	458.0
1237	SENIOR NETWORK HEALTH	Partial capitation	FEBRUARY 1, 2014	ONEIDA	409.0	458.0
1239	SENIOR WHOLE HEALTH	Partial capitation	FEBRUARY 1, 2014	NEW YORK	704.0	704.0
1241	TOTAL AGING IN PLACE PROGRAM	Partial capitation	FEBRUARY 1, 2014	ERIE	120.0	120.0
1243	UNITED HEALTHCARE	Partial capitation	FEBRUARY 1, 2014	NEW YORK	621.0	621.0
1245	VILLAGE CARE 	Partial capitation	FEBRUARY 1, 2014	NEW YORK	2631.0	2631.0
1247	VNA HEALTHCARE OPTIONS	Partial capitation	FEBRUARY 1, 2014	MADISON	8.0	202.0
1248	VNA HEALTHCARE OPTIONS	Partial capitation	FEBRUARY 1, 2014	ONONDAGA	194.0	202.0
1250	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	ALBANY	68.0	17688.0
1251	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	COLUMBIA	10.0	17688.0
1252	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	DUTCHESS	10.0	17688.0
1253	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	GREENE	7.0	17688.0
1254	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	NASSAU	322.0	17688.0
1255	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	NEW YORK	16858.0	17688.0
1256	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	ORANGE	21.0	17688.0
1257	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	RENSSELAER	4.0	17688.0
1258	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	ROCKLAND	23.0	17688.0
1259	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	SARATOGA	2.0	17688.0
1260	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	SUFFOLK	103.0	17688.0
1261	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	ULSTER	2.0	17688.0
1262	VNS CHOICE	Partial capitation	FEBRUARY 1, 2014	WESTCHESTER	258.0	17688.0
1264	WELLCARE	Partial capitation	FEBRUARY 1, 2014	ALBANY	12.0	5695.0
1265	WELLCARE	Partial capitation	FEBRUARY 1, 2014	ERIE	82.0	5695.0
1266	WELLCARE	Partial capitation	FEBRUARY 1, 2014	NASSAU	51.0	5695.0
1267	WELLCARE	Partial capitation	FEBRUARY 1, 2014	NEW YORK	5296.0	5695.0
1268	WELLCARE	Partial capitation	FEBRUARY 1, 2014	ORANGE	85.0	5695.0
1269	WELLCARE	Partial capitation	FEBRUARY 1, 2014	ROCKLAND	100.0	5695.0
1270	WELLCARE	Partial capitation	FEBRUARY 1, 2014	SUFFOLK	14.0	5695.0
1271	WELLCARE	Partial capitation	FEBRUARY 1, 2014	ULSTER	32.0	5695.0
1272	WELLCARE	Partial capitation	FEBRUARY 1, 2014	WESTCHESTER	23.0	5695.0
1283	PROVIDER	Partial capitation	MARCH 1, 2008	COUNTY	TOTAL ENROLLMENT	373.0
1284	PROVIDER	Partial capitation	MARCH 1, 2008	COUNTY	NUMB	373.0
1285	AMERIGROUP	Partial capitation	MARCH 1, 2008	NYC	373.0	373.0
1287	CCM SELECT	Partial capitation	MARCH 1, 2008	NYC	671.0	684.0
1288	CCM SELECT	Partial capitation	MARCH 1, 2008	WESTCHESTER	13.0	684.0
1290	COMPREHENSIVE CARE MGMT 	Partial capitation	MARCH 1, 2008	NYC	2204.0	2360.0
1291	COMPREHENSIVE CARE MGMT 	Partial capitation	MARCH 1, 2008	WESTCHESTER	156.0	2360.0
1293	EDDY SENIOR CARE	Partial capitation	MARCH 1, 2008	ALBANY	2.0	98.0
1294	EDDY SENIOR CARE	Partial capitation	MARCH 1, 2008	SCHENECTADY	95.0	98.0
1295	EDDY SENIOR CARE	Partial capitation	MARCH 1, 2008	SCHOHARIE	1.0	98.0
1297	ELANT	Partial capitation	MARCH 1, 2008	ORANGE	95.0	129.0
1298	ELANT	Partial capitation	MARCH 1, 2008	ROCKLAND	34.0	129.0
1300	GUILDNET	Partial capitation	MARCH 1, 2008	NASSAU	563.0	6799.0
1301	GUILDNET	Partial capitation	MARCH 1, 2008	NYC	6085.0	6799.0
1302	GUILDNET	Partial capitation	MARCH 1, 2008	SUFFOLK	151.0	6799.0
1304	HHH CHOICES	Partial capitation	MARCH 1, 2008	NYC	627.0	627.0
1306	HOMEFIRST	Partial capitation	MARCH 1, 2008	NYC	2515.0	2515.0
1308	INDEPENDENCE CARE SYSTEMS	Partial capitation	MARCH 1, 2008	NYC	1279.0	1279.0
1310	INDEPENDENT LIVING FOR SENIORS	Partial capitation	MARCH 1, 2008	MONROE	256.0	256.0
1312	PACE CNY	Partial capitation	MARCH 1, 2008	ONONDAGA	301.0	301.0
1314	PARTNERS IN COMMUNITY CARE	Partial capitation	MARCH 1, 2008	ORANGE	136.0	185.0
1315	PARTNERS IN COMMUNITY CARE	Partial capitation	MARCH 1, 2008	ROCKLAND	49.0	185.0
1317	SENIOR HEALTH PARTNERS INC	Partial capitation	MARCH 1, 2008	NYC	987.0	987.0
1319	SENIOR NETWORK HEALTH	Partial capitation	MARCH 1, 2008	HERKIMER	28.0	363.0
1320	SENIOR NETWORK HEALTH	Partial capitation	MARCH 1, 2008	ONEIDA	335.0	363.0
1322	TOTAL AGING IN PLACE PROGRAM	Partial capitation	MARCH 1, 2008	ERIE	137.0	137.0
1324	VNS CHOICE	Partial capitation	MARCH 1, 2008	NYC	5975.0	5975.0
1326	WELLCARE	Partial capitation	MARCH 1, 2008	NYC	21.0	21.0
1345	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2009	NEW YORK	2171.0	2363.0
1346	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2009	SUFFOLK	22.0	2363.0
1347	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2009	WESTCHESTER	170.0	2363.0
1349	EDDY SENIOR CARE	PACE plan	MARCH 1, 2009	ALBANY	1.0	109.0
1350	EDDY SENIOR CARE	PACE plan	MARCH 1, 2009	SCHENECTADY	107.0	109.0
1351	EDDY SENIOR CARE	PACE plan	MARCH 1, 2009	SCHOHARIE	1.0	109.0
1353	INDEPENDENT LIVING FOR SENIORS	PACE plan	MARCH 1, 2009	MONROE	237.0	237.0
1355	PACE CNY	PACE plan	MARCH 1, 2009	CHAUTAUQUA	1.0	318.0
1356	PACE CNY	PACE plan	MARCH 1, 2009	ONONDAGA	317.0	318.0
1361	AMERIGROUP	Partial capitation	MARCH 1, 2009	NEW YORK	443.0	443.0
1363	CCM SELECT	Partial capitation	MARCH 1, 2009	NEW YORK	1099.0	1118.0
1364	CCM SELECT	Partial capitation	MARCH 1, 2009	WESTCHESTER	19.0	1118.0
1366	ELANT	Partial capitation	MARCH 1, 2009	ORANGE	98.0	132.0
1367	ELANT	Partial capitation	MARCH 1, 2009	ROCKLAND	34.0	132.0
1369	GUILDNET	Partial capitation	MARCH 1, 2009	NASSAU	518.0	6468.0
1370	GUILDNET	Partial capitation	MARCH 1, 2009	NEW YORK	5721.0	6468.0
1371	GUILDNET	Partial capitation	MARCH 1, 2009	SUFFOLK	229.0	6468.0
1373	HHH CHOICES	Partial capitation	MARCH 1, 2009	NEW YORK	719.0	719.0
1375	HOMEFIRST	Partial capitation	MARCH 1, 2009	NEW YORK	3063.0	3063.0
1377	INDEPENDENCE CARE SYSTEMS	Partial capitation	MARCH 1, 2009	NEW YORK	1333.0	1333.0
1379	PARTNERS IN COMMUNITY CARE	Partial capitation	MARCH 1, 2009	ORANGE	160.0	259.0
1380	PARTNERS IN COMMUNITY CARE	Partial capitation	MARCH 1, 2009	ROCKLAND	99.0	259.0
1382	SENIOR HEALTH PARTNERS INC	Partial capitation	MARCH 1, 2009	NEW YORK	1442.0	1442.0
1384	SENIOR NETWORK HEALTH	Partial capitation	MARCH 1, 2009	HERKIMER	41.0	372.0
1385	SENIOR NETWORK HEALTH	Partial capitation	MARCH 1, 2009	ONEIDA	331.0	372.0
1387	TOTAL AGING IN PLACE PROGRAM	Partial capitation	MARCH 1, 2009	ERIE	141.0	141.0
1389	VNS CHOICE	Partial capitation	MARCH 1, 2009	NEW YORK	6805.0	6805.0
1391	WELLCARE	Partial capitation	MARCH 1, 2009	NEW YORK	172.0	172.0
1406	ARCHCARE SENIOR LIFE	PACE plan	MARCH 1, 2010	NEW YORK	18.0	18.0
1408	CHS BUFFALO LIFE	PACE plan	MARCH 1, 2010	ERIE	12.0	12.0
1410	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2010	NASSAU	12.0	2541.0
1411	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2010	NEW YORK	2293.0	2541.0
1412	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2010	SUFFOLK	58.0	2541.0
1413	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2010	WESTCHESTER	178.0	2541.0
1415	EDDY SENIOR CARE	PACE plan	MARCH 1, 2010	ALBANY	1.0	107.0
1416	EDDY SENIOR CARE	PACE plan	MARCH 1, 2010	SCHENECTADY	106.0	107.0
1418	INDEPENDENT LIVING FOR SENIORS	PACE plan	MARCH 1, 2010	MONROE	267.0	267.0
1420	PACE CNY	PACE plan	MARCH 1, 2010	CHAUTAUQUA	1.0	346.0
1421	PACE CNY	PACE plan	MARCH 1, 2010	ONONDAGA	345.0	346.0
1423	TOTAL SENIOR CARE	PACE plan	MARCH 1, 2010	CATTARAUGUS	30.0	30.0
1428	AMERIGROUP	Partial capitation	MARCH 1, 2010	NEW YORK	718.0	718.0
1430	CCM SELECT	Partial capitation	MARCH 1, 2010	NEW YORK	1561.0	1585.0
1431	CCM SELECT	Partial capitation	MARCH 1, 2010	WESTCHESTER	24.0	1585.0
1433	ELANT	Partial capitation	MARCH 1, 2010	ORANGE	113.0	148.0
1434	ELANT	Partial capitation	MARCH 1, 2010	ROCKLAND	35.0	148.0
1436	GUILDNET	Partial capitation	MARCH 1, 2010	NASSAU	468.0	6314.0
1437	GUILDNET	Partial capitation	MARCH 1, 2010	NEW YORK	5534.0	6314.0
1438	GUILDNET	Partial capitation	MARCH 1, 2010	SUFFOLK	312.0	6314.0
1440	HHH CHOICES	Partial capitation	MARCH 1, 2010	NEW YORK	822.0	822.0
1442	HOMEFIRST	Partial capitation	MARCH 1, 2010	NEW YORK	3566.0	3566.0
1444	INDEPENDENCE CARE SYSTEMS	Partial capitation	MARCH 1, 2010	NEW YORK	1446.0	1446.0
1446	PARTNERS IN COMMUNITY CARE	Partial capitation	MARCH 1, 2010	ORANGE	185.0	316.0
1447	PARTNERS IN COMMUNITY CARE	Partial capitation	MARCH 1, 2010	ROCKLAND	131.0	316.0
1449	SENIOR HEALTH PARTNERS INC	Partial capitation	MARCH 1, 2010	NEW YORK	2005.0	2005.0
1451	SENIOR NETWORK HEALTH	Partial capitation	MARCH 1, 2010	HERKIMER	51.0	389.0
1452	SENIOR NETWORK HEALTH	Partial capitation	MARCH 1, 2010	ONEIDA	338.0	389.0
1454	TOTAL AGING IN PLACE PROGRAM	Partial capitation	MARCH 1, 2010	ERIE	145.0	145.0
1456	VNS CHOICE	Partial capitation	MARCH 1, 2010	NEW YORK	7919.0	7919.0
1458	WELLCARE	Partial capitation	MARCH 1, 2010	NEW YORK	783.0	783.0
1473	ARCHCARE SENIOR LIFE	PACE plan	MARCH 1, 2011	NEW YORK	127.0	127.0
1475	CHS BUFFALO LIFE	PACE plan	MARCH 1, 2011	ERIE	44.0	44.0
1477	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2011	NASSAU	13.0	2574.0
1478	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2011	NEW YORK	2339.0	2574.0
1479	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2011	SUFFOLK	62.0	2574.0
1480	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2011	WESTCHESTER	160.0	2574.0
1482	EDDY SENIOR CARE	PACE plan	MARCH 1, 2011	ALBANY	3.0	121.0
1483	EDDY SENIOR CARE	PACE plan	MARCH 1, 2011	SCHENECTADY	118.0	121.0
1485	INDEPENDENT LIVING FOR SENIORS	PACE plan	MARCH 1, 2011	MONROE	272.0	272.0
1487	PACE CNY	PACE plan	MARCH 1, 2011	CHAUTAUQUA	1.0	392.0
1488	PACE CNY	PACE plan	MARCH 1, 2011	ONONDAGA	390.0	392.0
1489	PACE CNY	PACE plan	MARCH 1, 2011	OSWEGO	1.0	392.0
1491	TOTAL SENIOR CARE	PACE plan	MARCH 1, 2011	ALLEGANY	2.0	61.0
1492	TOTAL SENIOR CARE	PACE plan	MARCH 1, 2011	CATTARAUGUS	59.0	61.0
1497	AMERIGROUP	Partial capitation	MARCH 1, 2011	NEW YORK	973.0	973.0
1499	CCM SELECT	Partial capitation	MARCH 1, 2011	NEW YORK	1913.0	1950.0
1500	CCM SELECT	Partial capitation	MARCH 1, 2011	WESTCHESTER	37.0	1950.0
1502	ELANT	Partial capitation	MARCH 1, 2011	ORANGE	116.0	154.0
1503	ELANT	Partial capitation	MARCH 1, 2011	ROCKLAND	38.0	154.0
1505	ELDERPLAN	Partial capitation	MARCH 1, 2011	NEW YORK	3619.0	3619.0
1507	ELDERSERVE	Partial capitation	MARCH 1, 2011	NASSAU	14.0	362.0
1508	ELDERSERVE	Partial capitation	MARCH 1, 2011	NEW YORK	330.0	362.0
1509	ELDERSERVE	Partial capitation	MARCH 1, 2011	SUFFOLK	1.0	362.0
1510	ELDERSERVE	Partial capitation	MARCH 1, 2011	WESTCHESTER	17.0	362.0
1512	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2011	ORANGE	202.0	391.0
1513	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2011	ROCKLAND	189.0	391.0
1515	GUILDNET	Partial capitation	MARCH 1, 2011	NASSAU	465.0	6212.0
1516	GUILDNET	Partial capitation	MARCH 1, 2011	NEW YORK	5357.0	6212.0
1517	GUILDNET	Partial capitation	MARCH 1, 2011	SUFFOLK	390.0	6212.0
1519	HHH CHOICES	Partial capitation	MARCH 1, 2011	NEW YORK	960.0	960.0
1521	INDEPENDENCE CARE SYSTEMS	Partial capitation	MARCH 1, 2011	NEW YORK	1642.0	1642.0
1523	SENIOR HEALTH PARTNERS INC	Partial capitation	MARCH 1, 2011	NEW YORK	2605.0	2605.0
1525	SENIOR NETWORK HEALTH	Partial capitation	MARCH 1, 2011	HERKIMER	49.0	380.0
1526	SENIOR NETWORK HEALTH	Partial capitation	MARCH 1, 2011	ONEIDA	331.0	380.0
1528	TOTAL AGING IN PLACE PROGRAM	Partial capitation	MARCH 1, 2011	ERIE	141.0	141.0
1530	VNS CHOICE	Partial capitation	MARCH 1, 2011	NEW YORK	8748.0	8748.0
1532	WELLCARE	Partial capitation	MARCH 1, 2011	NEW YORK	1294.0	1294.0
1547	ARCHCARE SENIOR LIFE	PACE plan	MARCH 1, 2012	NEW YORK	206.0	206.0
1549	CHS BUFFALO LIFE	PACE plan	MARCH 1, 2012	ERIE	90.0	90.0
1551	COMPLETE SENIOR CARE	PACE plan	MARCH 1, 2012	NIAGARA	30.0	30.0
1553	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2012	NASSAU	24.0	2974.0
1554	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2012	NEW YORK	2726.0	2974.0
1555	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2012	SUFFOLK	66.0	2974.0
1556	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2012	WESTCHESTER	158.0	2974.0
1558	EDDY SENIOR CARE	PACE plan	MARCH 1, 2012	ALBANY	2.0	114.0
1559	EDDY SENIOR CARE	PACE plan	MARCH 1, 2012	SCHENECTADY	112.0	114.0
1561	INDEPENDENT LIVING FOR SENIORS	PACE plan	MARCH 1, 2012	MONROE	291.0	291.0
1563	PACE CNY	PACE plan	MARCH 1, 2012	ONONDAGA	407.0	408.0
1564	PACE CNY	PACE plan	MARCH 1, 2012	OSWEGO	1.0	408.0
1566	TOTAL SENIOR CARE	PACE plan	MARCH 1, 2012	ALLEGANY	5.0	81.0
1567	TOTAL SENIOR CARE	PACE plan	MARCH 1, 2012	CATTARAUGUS	76.0	81.0
1572	AMERIGROUP	Partial capitation	MARCH 1, 2012	NEW YORK	1446.0	1446.0
1574	CCM SELECT	Partial capitation	MARCH 1, 2012	NEW YORK	3784.0	3824.0
1575	CCM SELECT	Partial capitation	MARCH 1, 2012	WESTCHESTER	40.0	3824.0
1577	ELANT	Partial capitation	MARCH 1, 2012	ORANGE	125.0	179.0
1578	ELANT	Partial capitation	MARCH 1, 2012	ROCKLAND	54.0	179.0
1580	ELDERPLAN	Partial capitation	MARCH 1, 2012	NEW YORK	5120.0	5120.0
1582	ELDERSERVE	Partial capitation	MARCH 1, 2012	NASSAU	38.0	5323.0
1583	ELDERSERVE	Partial capitation	MARCH 1, 2012	NEW YORK	5202.0	5323.0
1584	ELDERSERVE	Partial capitation	MARCH 1, 2012	SUFFOLK	16.0	5323.0
1585	ELDERSERVE	Partial capitation	MARCH 1, 2012	WESTCHESTER	67.0	5323.0
1587	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2012	ORANGE	239.0	437.0
1588	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2012	ROCKLAND	198.0	437.0
1590	GUILDNET	Partial capitation	MARCH 1, 2012	NASSAU	487.0	7827.0
1591	GUILDNET	Partial capitation	MARCH 1, 2012	NEW YORK	6887.0	7827.0
1592	GUILDNET	Partial capitation	MARCH 1, 2012	SUFFOLK	453.0	7827.0
1594	HHH CHOICES	Partial capitation	MARCH 1, 2012	NEW YORK	1285.0	1285.0
1596	INDEPENDENCE CARE SYSTEMS	Partial capitation	MARCH 1, 2012	NEW YORK	2018.0	2018.0
1598	SENIOR HEALTH PARTNERS INC	Partial capitation	MARCH 1, 2012	NEW YORK	3615.0	3615.0
1600	SENIOR NETWORK HEALTH	Partial capitation	MARCH 1, 2012	HERKIMER	48.0	381.0
1601	SENIOR NETWORK HEALTH	Partial capitation	MARCH 1, 2012	ONEIDA	333.0	381.0
1603	TOTAL AGING IN PLACE PROGRAM	Partial capitation	MARCH 1, 2012	ERIE	123.0	123.0
1605	VNS CHOICE	Partial capitation	MARCH 1, 2012	NEW YORK	10329.0	10329.0
1607	WELLCARE	Partial capitation	MARCH 1, 2012	NEW YORK	2051.0	2051.0
1624	ARCHCARE SENIOR LIFE	PACE plan	MARCH 1, 2013	NEW YORK	224.0	224.0
1626	CHS BUFFALO LIFE	PACE plan	MARCH 1, 2013	ERIE	119.0	119.0
1628	COMPLETE SENIOR CARE	PACE plan	MARCH 1, 2013	NIAGARA	67.0	67.0
1630	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2013	NASSAU	27.0	3166.0
1631	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2013	NEW YORK	2903.0	3166.0
1632	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2013	SUFFOLK	70.0	3166.0
1633	COMPREHENSIVE CARE MGMT 	PACE plan	MARCH 1, 2013	WESTCHESTER	166.0	3166.0
1635	EDDY SENIOR CARE	PACE plan	MARCH 1, 2013	ALBANY	4.0	128.0
1636	EDDY SENIOR CARE	PACE plan	MARCH 1, 2013	SCHENECTADY	124.0	128.0
1638	INDEPENDENT LIVING FOR SENIORS	PACE plan	MARCH 1, 2013	MONROE	387.0	387.0
1640	PACE CNY	PACE plan	MARCH 1, 2013	ONONDAGA	427.0	428.0
1641	PACE CNY	PACE plan	MARCH 1, 2013	OSWEGO	1.0	428.0
1643	TOTAL SENIOR CARE	PACE plan	MARCH 1, 2013	ALLEGANY	9.0	90.0
1644	TOTAL SENIOR CARE	PACE plan	MARCH 1, 2013	CATTARAUGUS	81.0	90.0
1649	AETNA BETTER HEALTH	Partial capitation	MARCH 1, 2013	NASSAU	7.0	264.0
1650	AETNA BETTER HEALTH	Partial capitation	MARCH 1, 2013	NEW YORK	226.0	264.0
1651	AETNA BETTER HEALTH	Partial capitation	MARCH 1, 2013	SUFFOLK	31.0	264.0
1653	AGEWELL NEW YORK	Partial capitation	MARCH 1, 2013	NASSAU	54.0	331.0
1654	AGEWELL NEW YORK	Partial capitation	MARCH 1, 2013	NEW YORK	268.0	331.0
1655	AGEWELL NEW YORK	Partial capitation	MARCH 1, 2013	SUFFOLK	7.0	331.0
1656	AGEWELL NEW YORK	Partial capitation	MARCH 1, 2013	WESTCHESTER	2.0	331.0
1658	AMERIGROUP	Partial capitation	MARCH 1, 2013	NEW YORK	2705.0	2705.0
1660	ARCHCARE COMMUNITY LIFE	Partial capitation	MARCH 1, 2013	NEW YORK	114.0	252.0
1661	ARCHCARE COMMUNITY LIFE	Partial capitation	MARCH 1, 2013	WESTCHESTER	138.0	252.0
1663	CCM SELECT	Partial capitation	MARCH 1, 2013	NASSAU	3.0	7712.0
1664	CCM SELECT	Partial capitation	MARCH 1, 2013	NEW YORK	7389.0	7712.0
1665	CCM SELECT	Partial capitation	MARCH 1, 2013	ROCKLAND	137.0	7712.0
1666	CCM SELECT	Partial capitation	MARCH 1, 2013	SUFFOLK	13.0	7712.0
1667	CCM SELECT	Partial capitation	MARCH 1, 2013	WESTCHESTER	170.0	7712.0
1669	CENTERS PLAN FOR HEALTHY LIVING	Partial capitation	MARCH 1, 2013	NEW YORK	48.0	48.0
1671	ELANT	Partial capitation	MARCH 1, 2013	DUTCHESS	24.0	277.0
1672	ELANT	Partial capitation	MARCH 1, 2013	ORANGE	131.0	277.0
1673	ELANT	Partial capitation	MARCH 1, 2013	ROCKLAND	122.0	277.0
1675	ELDERPLAN	Partial capitation	MARCH 1, 2013	MONROE	48.0	7438.0
1676	ELDERPLAN	Partial capitation	MARCH 1, 2013	NASSAU	8.0	7438.0
1677	ELDERPLAN	Partial capitation	MARCH 1, 2013	NEW YORK	7252.0	7438.0
1678	ELDERPLAN	Partial capitation	MARCH 1, 2013	WESTCHESTER	130.0	7438.0
1680	ELDERSERVE	Partial capitation	MARCH 1, 2013	NASSAU	44.0	8037.0
1681	ELDERSERVE	Partial capitation	MARCH 1, 2013	NEW YORK	7866.0	8037.0
1682	ELDERSERVE	Partial capitation	MARCH 1, 2013	SUFFOLK	21.0	8037.0
1683	ELDERSERVE	Partial capitation	MARCH 1, 2013	WESTCHESTER	106.0	8037.0
1685	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	ALBANY	39.0	4359.0
1686	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	CHAUTAUQUA	2.0	4359.0
1687	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	COLUMBIA	3.0	4359.0
1688	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	DUTCHESS	7.0	4359.0
1689	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	ERIE	3.0	4359.0
1690	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	FULTON	1.0	4359.0
1691	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	HERKIMER	3.0	4359.0
1692	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	MONTGOMERY	2.0	4359.0
1693	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	NASSAU	8.0	4359.0
1694	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	NEW YORK	3731.0	4359.0
1695	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	ONEIDA	9.0	4359.0
1696	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	ONONDAGA	6.0	4359.0
1697	FIDELIS CARE AT HOME	Partial capitation	MARCH 1, 2013	ORANGE	256.0	4359.0
